ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,AP ,ap assembly session today,alliance,roja,yuvashakti,suprem court,ap development,tadipatri
8xox_y5rhe0,2023-03-02,-0.9940045475959778,1182.0,TV9,268.0,0.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,1,0,0,0,0,0,0,0,1,1,0
zNxtPVjTy_U,2023-03-02,0.9980212450027466,1445.0,TV9,319.0,0.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,1,0,0,0,0,0,0
e3yQ0xbmIQg,2023-03-03,0.6853163242340088,279.0,ABN,221.0,0.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,0,1,0,0,0,0
UTtQrwkTA1I,2023-03-03,-0.9991188645362854,1006.0,ABN,272.0,10.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,1,1,0,0,0,0,0,0,1,0,0,0,0
RlIunpTRK68,2023-03-03,-0.9983090162277222,170.0,ABN,229.0,1.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ctR4YQt2VjY,2023-03-03,-0.9986238479614258,972.0,ABN,251.0,3.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,1,1,0,1,0,0,0,0,0,0,0,0,0
YKL_m5KVY2o,2023-03-03,0.9955346584320068,267.0,ABN,269.0,1.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rEifrGmLAUY,2023-03-04,0.9987531900405884,877.0,TV9,158.0,0.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,0,0,1,0,0,0
g_GQCbtlXiQ,2023-03-08,-0.998685657978058,772.0,TV9,158.0,3.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,1,0,0,0,0,0,0,0,0,0,0,0
uWjYNy9KYiA,2023-03-08,-0.9994581341743468,875.0,TV9,286.0,3.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45Vlrq989oc,2023-03-09,-0.9981416463851928,992.0,TV9,271.0,5.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cundfbf5QcE,2023-03-09,0.9966717958450316,26030.0,Sakshi,299.0,17.0,allagadda.png,gangula brijendra reddy,YSRCP,Allagadda,0,1,1,0,1,1,0,0,0,0,0,0,1,0
