ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,nara lokesh,AP ,yuvagalam,amaravati,tdp pattabhi,ap employees,ap assembly session today,alliance,Peddireddy ,visakha
hUVkxI9pxOo,2022-11-26,-0.9959641695022584,2343.0,TV5,105.0,1.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MDIJn2Ip0Lc,2022-11-26,-0.99815171957016,548.0,ABN,214.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8wzDmdAeUG8,2022-11-26,0.9985005855560304,4639.0,TV5,85.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LugSc0jlaXg,2022-11-26,0.9869341850280762,12563.0,Sakshi,379.0,32.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OIRym4c-_Bc,2022-11-27,-0.9971941709518432,2690.0,ABN,394.0,15.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c-_ab_BVEwc,2022-11-27,0.997795581817627,4338.0,TV5,334.0,11.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
MibTMEWVIec,2022-11-27,-0.9974572062492372,453.0,TV5,245.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pa42jLNpt1E,2022-11-27,0.9974230527877808,97577.0,TV5,381.0,163.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WZiR-5SQyRY,2022-11-27,0.9921716451644896,5607.0,TV5,372.0,8.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Vtcu79A6CV8,2022-11-27,0.9983215928077698,2826.0,TV5,362.0,10.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DygbkUj_06M,2022-11-28,-0.9984777569770812,1890.0,TV5,305.0,5.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
xOfA2eXaT5M,2022-12-02,0.9727954864501952,5606.0,TV5,335.0,0.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0
ZScvQ-6RXvA,2022-12-02,-0.9986739158630372,1857.0,TV5,230.0,2.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5ivO5GxHwkk,2022-12-02,-0.9937606453895568,987.0,TV9,230.0,6.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
3te-4xXHtM4,2022-12-07,0.9961328506469728,521.0,TV5,398.0,6.0,tadipatri.png,K. Pedda Reddy,YSRCP,Tadipatri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
