ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,alliance,polavaram,visakha,yuvashakti,suprem court,ap development,Kethireddy Venkatarami Reddy,tadipatri
pCeeRj1kHvA,2023-01-10,-0.9978600144386292,16747.0,Sakshi,203.0,42.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
jtmSly5GZVQ,2023-01-10,0.9960643649101256,5993.0,TV9,274.0,19.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cbSnRv8fG1s,2023-01-10,0.9637734293937684,14749.0,Sakshi,574.0,20.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dv7mpe_sbvk,2023-01-10,-0.9939020872116088,24168.0,Sakshi,309.0,47.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
aXTvWWE09W0,2023-01-11,0.99684476852417,16440.0,Sakshi,381.0,17.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antaRkmB65o,2023-01-11,-0.9973011612892152,595117.0,Sakshi,127.0,308.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
e3AnTmvwbw0,2023-01-11,-0.9908350706100464,101665.0,Sakshi,283.0,81.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ntoIP2fQhgM,2023-01-11,-0.99013090133667,3752.0,Sakshi,264.0,3.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
0GUccTVQUGs,2023-01-11,-0.9835281372070312,1727.0,Sakshi,165.0,7.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0
Te6uiYLs32c,2023-01-11,-0.9969664216041564,9898.0,Sakshi,409.0,16.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TptRcMQhXdo,2023-01-11,-0.9980319142341614,114952.0,Sakshi,319.0,244.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0
RSWlbMeeje8,2023-01-12,-0.979453980922699,89822.0,Sakshi,110.0,44.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1
N2OVkr-YsSI,2023-01-12,-0.9953848719596864,29706.0,Sakshi,275.0,18.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
SPtRPJlaGhQ,2023-01-13,0.9973235726356506,8066.0,TV5,180.0,6.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
WduVooSg4S8,2023-01-20,-0.9685649275779724,492.0,TV9,393.0,0.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BwlIdIcNKQ8,2023-01-20,-0.998830020427704,1694.0,TV5,198.0,0.0,dharmavaram.png,Kethireddy Venkatarami Reddy,YSRCP,Dharmavaram,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
