ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,ambati rambabu,ap employees,ap assembly session today,alliance,Peddireddy ,polavaram,visakha,byreddy siddharth reddy,roja,nellore ,yuvashakti,tadepalli,suprem court,ap development,tadipatri,nandigama
OH4it2w4wWA,2022-10-12,-0.9988226294517516,2718.0,Sakshi,221.0,11.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bwWfkYiFNbE,2022-10-12,0.9925657510757446,5235.0,TV5,95.0,12.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB7ZwPoMyFM,2022-10-12,-0.9917029738426208,9682.0,TV5,80.0,2.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
k6I4DXWSzTg,2022-10-12,-0.9988003969192504,1704.0,TV5,145.0,3.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
tRmPDoZ84as,2022-10-15,0.9942325949668884,3360.0,Sakshi,371.0,6.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
TITpyoPbyE8,2022-10-18,-0.9970768690109252,1694.0,Sakshi,365.0,15.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
P_9GNZGzX-I,2022-10-18,-0.9982689619064332,1352.0,Sakshi,251.0,6.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
vWZyttM_lDY,2022-10-22,0.9941363334655762,7637.0,Sakshi,304.0,22.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-ZDZ5xUbGPE,2022-10-27,-0.9929936528205872,408.0,ABN,566.0,1.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dvsbzIe1IJs,2022-10-31,-0.998304843902588,5276.0,Sakshi,113.0,18.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
pyP_MrToGz4,2022-11-01,0.9977879524230956,4981.0,TV5,175.0,15.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1PC_vqgwiGw,2022-11-05,-0.9974575638771056,1901.0,ABN,495.0,1.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Mt1lzMN-iU,2022-11-06,-0.99625563621521,4738.0,TV5,280.0,0.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YXoF59WljyQ,2022-11-06,-0.9916130304336548,11184.0,TV5,200.0,3.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aflVxv5TxIc,2022-11-06,0.9978249073028564,3764.0,ABN,457.0,3.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BgZT19QjUr4,2022-11-06,0.99816232919693,13299.0,Sakshi,168.0,18.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
cgyOCMul-50,2022-11-06,0.9973389506340028,8889.0,TV5,130.0,3.0,bhimili.png,Muttamsetti Srinivasa Rao,YSRCP,bheemili,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
