ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,nara lokesh,AP ,yuvagalam,amaravati,Kuppam,ap employees,ap assembly session today,alliance,vangalapudi anitha,polavaram,visakha
lUDm6khj1ls,2022-10-29,0.975789189338684,955.0,TV5,394.0,0.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
COyDSPEnFrA,2022-10-30,0.996665060520172,2088.0,TV5,395.0,3.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EoidIBZHcDg,2022-10-30,-0.9791557192802428,2076.0,Sakshi,205.0,2.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Z9dmfb6rFYY,2022-11-02,0.9986491799354552,2314.0,TV5,549.0,4.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m0vEEINIuSA,2022-11-04,0.995902955532074,9927.0,Sakshi,266.0,34.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1
_W2mbOhM6fo,2022-11-04,-0.9942619800567628,502.0,TV5,286.0,0.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DnBw23cpGuE,2022-11-05,-0.9990585446357728,3349.0,TV5,220.0,3.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
hCfbevBpMEY,2022-11-08,-0.9987834095954896,4502.0,ABN,167.0,8.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vfI9gKrQdQU,2022-11-09,0.9984778761863708,1495.0,Sakshi,365.0,3.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
NWMRILHH3ts,2022-11-09,-0.9987301230430604,497.0,ABN,66.0,0.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zmN7f7xNRgE,2022-11-11,-0.9784048199653624,2725.0,Sakshi,160.0,3.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
eL-NtIzi8jM,2022-11-13,0.9985236525535583,2737.0,Sakshi,194.0,9.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IV6ZzNkYY-o,2022-11-13,0.994045615196228,14660.0,Sakshi,203.0,59.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
8z4-Nai9OvE,2022-11-15,0.9973583817481996,10375.0,Sakshi,120.0,5.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
jczeudMukpk,2022-11-15,0.9988430738449096,4953.0,Sakshi,111.0,3.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
XCIYLpQYB4U,2022-11-17,-0.9984638690948486,38626.0,TV5,121.0,46.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cAM7WRzNErU,2022-11-18,0.99835604429245,4638.0,Sakshi,565.0,12.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6aZDpghcik8,2022-11-18,-0.9992376565933228,2010.0,Sakshi,308.0,43.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
bLdGK3-oe-0,2022-11-18,0.9984922409057616,1445.0,Sakshi,389.0,2.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
lkOkpBVdfYM,2022-11-18,0.9901013374328612,1077.0,ABN,455.0,3.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9p-8cwHiYXM,2022-11-19,0.99836403131485,400.0,TV9,384.0,0.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bgFdBZ_qKos,2022-11-21,0.9985994696617126,24422.0,Sakshi,301.0,17.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
DbzBLJwEur4,2022-11-21,0.9973383545875548,4655.0,Sakshi,143.0,3.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1
-f1z5lhHItw,2022-11-24,-0.9970861077308656,5516.0,Sakshi,410.0,17.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4RiaxOLSOgo,2022-11-25,-0.9931780099868774,1707.0,TV9,225.0,1.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gdp7VZzx7as,2022-11-26,-0.9979518055915833,386.0,ABN,107.0,0.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g0GBZHIQong,2022-11-28,-0.997920572757721,2849.0,TV5,267.0,2.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d3DKTn-NNNg,2022-11-29,-0.9974907636642456,3077.0,TV9,212.0,1.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BZve7Mh5gC8,2022-11-29,0.9982609152793884,15647.0,Sakshi,472.0,44.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
f8JpgghpWew,2022-11-30,-0.9975932240486144,2171.0,TV9,467.0,8.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hn5XakWTGWE,2022-12-01,0.997378706932068,666.0,TV9,153.0,1.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Z8ZM7hfhIJY,2022-12-01,-0.9987394213676452,933.0,TV9,288.0,1.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gyO59PGiBUg,2022-12-02,-0.996838927268982,792.0,ABN,243.0,1.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
auz2WL2Qeog,2022-12-05,0.9988206028938292,656.0,ABN,197.0,0.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TEwYih16yXY,2022-12-05,-0.997960090637207,857.0,Sakshi,170.0,1.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7GHDypCYXMk,2022-12-06,-0.9955804944038392,1063.0,TV5,70.0,0.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tOmcaGgiP9k,2022-12-08,-0.9988301396369934,3169.0,TV5,350.0,6.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yYbARBPcO28,2022-12-09,0.9954782128334044,31188.0,Sakshi,301.0,25.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZlfmqkDuoUk,2022-12-10,-0.9992413520812988,1341.0,ABN,271.0,3.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1
NIyRKbgCFYg,2022-12-10,-0.9985872507095336,2298.0,TV9,249.0,5.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H8HCAMYRgag,2022-12-10,-0.9989042282104492,4139.0,TV9,148.0,9.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z379eaNhR1o,2022-12-11,-0.9943087697029114,3855.0,TV9,153.0,3.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t7hpxa06WXE,2022-12-11,0.994617998600006,899.0,ABN,57.0,1.0,kakinada_.png,Vanga Geetha,YSRCP,Kakinada,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1
