ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,nara lokesh,AP ,yuvagalam,ap employees,ap assembly session today,alliance,polavaram,visakha,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
1UaNQrZSy-Q,2023-01-04,-0.9980008006095886,4640.0,ABN,335.0,0.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
67jmNTqjRXg,2023-01-04,-0.9922050833702089,8406.0,Sakshi,568.0,20.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rzkqXOASQQI,2023-01-05,-0.9728782773017884,33024.0,TV9,300.0,44.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UBd6XcjSOUg,2023-01-06,-0.997094988822937,2044.0,TV9,205.0,2.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
nqLwxmCCu_s,2023-01-06,-0.9974768757820128,1834.0,TV9,411.0,2.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1
0CO5sZyd8mA,2023-01-07,-0.996698558330536,14615.0,TV9,75.0,7.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-SAaBmSjxqg,2023-01-10,-0.9724658131599426,3536.0,ABN,309.0,5.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1pPIeUeFeks,2023-01-10,0.993372917175293,2722.0,Sakshi,248.0,5.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
abEapYx5E94,2023-01-11,0.993924915790558,1867.0,TV5,363.0,3.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
isIk5IWFwHg,2023-01-12,0.9959626793861388,4727.0,TV9,389.0,9.0,proddatur.png,Rachamallu Siva Prasad Reddy,YSRCP,Proddatur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
