ids,upload_date,sentiment,view_count,uploader,duration,comment_count,f_id,name,party,constituency,tdp,ycp,ysrcp,schemes,cm jagan,chandrababu,pawan kalyan,AP ,yuvagalam,amaravati,janasena party,ap assembly session today,alliance,visakha,roja,yuvashakti,tadepalli,suprem court,ap development,tadipatri
a47sLpKmd-A,2023-02-02,-0.9967417120933532,10791.0,TV5,99.0,20.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2DMyumUUAxM,2023-02-06,-0.9894071221351624,396.0,TV5,165.0,1.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ySA8KPbuJQo,2023-02-07,0.998490571975708,34656.0,TV5,120.0,58.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Dqtzlm1B5KA,2023-02-07,0.998558223247528,251323.0,TV5,539.0,633.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1
CR1Pg_H-axc,2023-02-07,-0.9960708618164062,4627.0,TV9,153.0,17.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
KVLQTq8h4NY,2023-02-07,-0.9944064617156982,4107.0,TV9,155.0,17.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0mXKeNbizoA,2023-02-12,-0.980113923549652,14497.0,TV9,394.0,19.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Mp-2BhpmOu8,2023-02-14,0.992983341217041,1177.0,ABN,510.0,4.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_lQLLjNvOeI,2023-02-21,-0.9981452226638794,1585.0,ABN,254.0,0.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-FmbUfreMbU,2023-02-21,-0.9988623857498168,2191.0,ABN,243.0,2.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuiHttyPDjY,2023-02-21,-0.9844890832901,745.0,TV9,282.0,2.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
1Gr_XtIgTjE,2023-02-21,0.9974979758262634,7913.0,Sakshi,482.0,7.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KONI6-0aUII,2023-02-21,0.9973293542861938,1363.0,TV9,345.0,5.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1
uqJ857JbQcQ,2023-02-26,-0.9976086616516112,1219.0,TV9,286.0,1.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2qhqHCSWoQ,2023-02-27,0.9840710163116456,5298.0,TV5,215.0,1.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
A21WYxU8Xa8,2023-02-28,0.9948301911354064,346.0,ABN,219.0,3.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
_EaUb1ou6z4,2023-03-05,0.9964513778686525,4924.0,Sakshi,204.0,10.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1
g_GQCbtlXiQ,2023-03-08,-0.998685657978058,772.0,TV9,158.0,3.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l3XjT6ogbv0,2023-03-08,-0.9984022974967957,23083.0,Sakshi,237.0,43.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74kIEeJYWII,2023-03-08,-0.9921786785125732,577.0,TV9,163.0,0.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
whQoYUY3joU,2023-03-13,0.9914803504943848,1040.0,TV9,352.0,5.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suK2ztf2WAU,2023-03-14,0.9987664222717284,2013.0,ABN,227.0,2.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
JNXiMTqcZe0,2023-03-16,0.982959508895874,107567.0,TV9,160.0,10.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MXQiF0dCVMM,2023-03-18,0.9867274165153505,11685.0,TV9,83.0,8.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABQl5CDiJfw,2023-03-19,-0.999473750591278,1553.0,TV9,265.0,1.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1lrfVKNfNro,2023-03-19,0.9936400055885316,2380.0,Sakshi,329.0,11.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jUDagebyEaI,2023-03-24,-0.9994412064552308,13423.0,TV9,323.0,22.0,mandapeta.png,V Jogeswara Rao,TDP,Mandapeta,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
