ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,raptadu.png,penukonda.png,vizianagaram_.png,Srungavarapukota.png,tenali.png,kodur.png,srikakulam_.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,narsapuram_l.png,eluru.png,venkat_krishna.png,palakollu.png,penamaluru.png,myudukur.png,pulivendula.png,kanigiri.png,kalayan_durg.png,murthy.png,madugula.png,unguturu.png,repalle.png,sattenapalli.png,Venkata_Mahesh.png,paturi_nagabhusnam.png,rayachoti.png,nandyal_l.png,nandikotkur.png,tekkali.png,jammalamadugu.png,denduluru.png,pawan.png
5loryoXaUKE,2022-12-10,330.0,16.0,9045.0,0.9940140843391418,TV5,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jltENP3yme8,2022-11-26,49.0,3.0,6792.0,-0.9962528944015504,ABN,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uJSnwgEqb-8,2023-01-28,101.0,1.0,2340.0,-0.9884634613990784,TV5,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t9O5fCWO18s,2022-07-12,148.0,8.0,19547.0,0.9985143542289734,Sakshi,election commission,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38bHvzeCTzM,2023-01-09,286.0,0.0,672.0,-0.992846429347992,TV5,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMCKS7_bduI,2023-03-24,144.0,54.0,15345.0,-0.994665503501892,Sakshi,election commission,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sKHNl206as8,2019-12-21,104.0,0.0,503.0,0.9984605312347412,Sakshi,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ecqXh1KeqJw,2021-02-21,151.0,0.0,1097.0,0.997532844543457,Sakshi,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kRLuVGMTWDg,2023-01-10,305.0,28.0,19194.0,0.992619812488556,TV5,election commission,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
3SorTrAyUqM,2022-12-18,89.0,0.0,637.0,-0.9970834851264954,ABN,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3wz5vOhpLy4,2022-12-09,270.0,3.0,2071.0,-0.9887565970420836,TV9,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
occhz2hNd2s,2022-10-22,281.0,0.0,1612.0,0.9973074197769164,TV5,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u3jRkhIBZLc,2021-02-21,178.0,0.0,463.0,0.9941983222961426,Sakshi,election commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
