ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,vizianagaram_.png,gannavaram_vamsi.png,jaggayyapeta.png,kodur.png,venkatagiri.png,vishakapatnam_west.png,kakinada.png,tadikonda.png,eluru.png,venkat_krishna.png,pulivendula.png,kanigiri.png,kalayan_durg.png,sattenapalli.png,tekkali.png
SO2Y6lBUYDA,2022-09-14,70.0,0.0,828.0,-0.99519944190979,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52b1jItdgQo,2022-11-29,228.0,0.0,22269.0,0.993390679359436,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aa_cqoRa73k,2022-12-06,345.0,0.0,2668.0,-0.9969273209571838,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAIPJjcef7o,2022-09-10,265.0,2.0,595.0,-0.9841833710670472,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5T-wgfpf2iM,2023-01-19,189.0,27.0,156245.0,-0.9776846766471864,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
khrlTgmS37M,2022-11-14,165.0,5.0,1035.0,-0.9955443739891052,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1gF_Q9CVrqI,2022-04-09,248.0,7.0,2742.0,0.986441731452942,Sakshi,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tNYhKJljj18,2023-04-01,174.0,5.0,1131.0,-0.9989232420921326,TV5,bhuma akhila priya,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8-2sR96Ht3A,2023-02-02,98.0,16.0,8979.0,-0.9609681367874146,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_lPzAk56SM,2021-02-20,213.0,0.0,2274.0,0.998498558998108,Sakshi,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLX0-q9mKcQ,2022-12-01,231.0,2.0,22348.0,-0.9966452717781068,TV9,bhuma akhila priya,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
leCDTNJmVH4,2022-10-16,156.0,1.0,1804.0,-0.9974753260612488,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hIaovz9XyE0,2023-04-05,110.0,0.0,2629.0,0.9881068468093872,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DF0Cc-bkyv0,2023-02-12,316.0,34.0,48267.0,0.9969791173934937,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zy0SRyi-IXg,2023-03-12,262.0,1.0,1899.0,0.992320716381073,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KncS0J_d5Q4,2022-12-24,296.0,0.0,1049.0,-0.9994319081306458,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
89ATnMv1tOI,2022-08-21,265.0,0.0,756.0,0.9917279481887816,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frEZg6-NzkE,2023-01-24,74.0,0.0,874.0,0.9836058616638184,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LsVHueAQ6Ss,2023-03-31,329.0,6.0,2017.0,-0.9965972304344176,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0HzgKdXbyI,2022-10-03,595.0,0.0,1039.0,0.998230278491974,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yzNdzam-_eg,2022-11-21,254.0,1.0,2212.0,-0.9978036284446716,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QjpyxzjLe_s,2023-03-21,136.0,28.0,5852.0,0.9952978491783142,Sakshi,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LY51Uizu4BA,2023-03-14,263.0,1.0,597.0,-0.9982611536979676,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8GOkl_dVxKg,2023-04-07,272.0,1.0,510.0,-0.9922497272491456,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSm-km6IFZY,2022-07-28,184.0,3.0,2246.0,0.9976072311401368,Sakshi,bhuma akhila priya,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HwyN2PLZIh4,2022-03-23,278.0,197.0,106325.0,-0.9991063475608826,Sakshi,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AKk0ca0eU7E,2023-02-22,316.0,42.0,28934.0,-0.9983362555503844,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91lYm6qEEUI,2022-12-28,227.0,3.0,67046.0,-0.9974914789199828,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HmqKqzqsTS4,2023-02-14,259.0,7.0,2212.0,-0.9959591031074524,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbacQ77spio,2023-03-13,219.0,11.0,29839.0,-0.9994353652000428,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDsMzGOO7QA,2022-12-20,204.0,18.0,21626.0,-0.993137001991272,TV9,bhuma akhila priya,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
AZIc9f6HBhY,2021-02-15,186.0,0.0,1664.0,0.9921661615371704,Sakshi,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yGpZHxmPeEY,2023-04-05,300.0,2.0,1342.0,-0.99576073884964,TV5,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSlogXb40Fc,2023-02-13,195.0,3.0,4742.0,0.9924591183662416,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SUe4DhsDOoE,2023-03-24,134.0,10.0,22225.0,0.9943872690200806,TV9,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flgUjALQuoE,2022-12-24,314.0,1.0,4077.0,-0.997534990310669,ABN,bhuma akhila priya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qchdj2YqKvY,2021-02-15,191.0,0.0,2025.0,0.9966338276863098,Sakshi,bhuma akhila priya,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
